Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Band-tailed antshrike,Thamnophilus,Thamnophilus melanothorax,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Makira fantail,Rhipidura,Rhipidura tenebrosa,Animalia,0,Aves,Passeriformes,Rhipiduridae,"Terrestrial,Not a migrant,starts with"
Príncipe white-eye,Zosterops,Zosterops ficedulinus,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Forest honeyeater,Microptilotis,Microptilotis montanus,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Black-browed greenbul,Arizelocichla,Arizelocichla fusciceps,Animalia,0,Aves,Passeriformes,Pycnonotidae,"Terrestrial,Partial Migrant,starts with"
Cinereous tyrant,Knipolegus,Knipolegus striaticeps,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Migrating,starts with"
Sierra Nevada brushfinch,Arremon,Arremon basilicus,Animalia,0,Aves,Passeriformes,Passerellidae,"Terrestrial,Not a migrant,starts with"
Vogelkop melidectes,Melidectes,Melidectes leucostephes,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Yellow-breasted warbling antbird,Hypocnemis,Hypocnemis subflava,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Forbes's mannikin,Lonchura,Lonchura forbesi,Animalia,0,Aves,Passeriformes,Estrildidae,"Terrestrial,Not a migrant,starts with"
Yellowish-streaked honeyeater,Ptiloprora,Ptiloprora meekiana,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Kungwe apalis,Apalis,Apalis argentia,Animalia,0,Aves,Passeriformes,Cisticolidae,"Terrestrial,Not a migrant,starts with"
Snethlage's tody-tyrant,Hemitriccus,Hemitriccus minor,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Bannerman's sunbird,Cyanomitra,Cyanomitra bannermani,Animalia,0,Aves,Passeriformes,Nectariniidae,"Terrestrial,Not a migrant,starts with"
Grey-throated leaftosser,Sclerurus,Sclerurus albigularis,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Urich's tyrannulet,Phyllomyias,Phyllomyias urichi,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Olivaceous flycatcher,Fraseria,Muscicapa olivascens,Animalia,0,Aves,Passeriformes,Muscicapidae,"Terrestrial,Not a migrant,starts with"
